subject,organ,iou,label,logreg_[raw],tree-depth3_[raw],randomforest_[raw],histgradboost_[raw],logreg_[raw+organ],tree-depth3_[raw+organ],randomforest_[raw+organ],histgradboost_[raw+organ],logreg_[rel],tree-depth3_[rel],randomforest_[rel],histgradboost_[rel],logreg_[raw+rel],tree-depth3_[raw+rel],randomforest_[raw+rel],histgradboost_[raw+rel],organ-rate_baseline,always-accept
s0324,adrenal_gland_left,0.7025,0,0.4138636826036196,0.15691854564269822,0.20136395433043164,0.19585187546851626,0.19456983608172068,0.15691854564269825,0.22454210340102404,0.06835662732160228,0.4822666375323273,0.46964367640311927,0.7272831288207727,0.7390687682657707,0.3115788397429033,0.15691854564269828,0.31956683260712404,0.2959247765380726,0.3103448275862069,0.7414330218068536
s0324,adrenal_gland_right,0.77,0,0.3939379667731239,0.15691854564269822,0.11558083916902465,0.0332443685184019,0.2613421442531541,0.15691854564269825,0.18466919664164955,0.004437670360523985,0.402235171776257,0.46964367640311927,0.5844227505910498,0.9334758454270063,0.2801172286239647,0.15691854564269828,0.1792454414806849,0.01470836395639909,0.4,0.7414330218068536
s0324,aorta,0.8888,0,0.5956530032262345,0.5931206619482351,0.6182861812983625,0.905709335339734,0.8415089885446451,0.5931206619482348,0.6309558270576207,0.9696796356018308,0.554234506008318,0.7091767251832947,0.6291056528754304,0.93999096498432,0.5975599683674653,0.593120661948235,0.6278846324178509,0.7569321901212033,0.95,0.7414330218068536
s0324,autochthon_left,0.976,1,0.8851816542509117,0.8180735731873152,0.9523024234699682,0.9983764161884606,0.9499515138190455,0.8180735731873152,0.9339971295165364,0.9933205108855723,0.6569825648992623,0.7091767251832947,0.9427218578103956,0.9981817503281818,0.9446753682863362,0.8180735731873152,0.9670197289743505,0.9996222812943021,1.0,0.7414330218068536
s0324,autochthon_right,0.9755,1,0.8716485803366261,0.8180735731873152,0.9510397258662782,0.9948834681249891,0.9520232359454748,0.8180735731873152,0.9450994289334709,0.9927281582843975,0.6639285803402509,0.7091767251832947,0.9457868061581763,0.9985404421047959,0.9381850575750963,0.8180735731873152,0.9567224724400443,0.9994886543391898,1.0,0.7414330218068536
s0324,colon,0.7919,0,0.7272039126462668,0.06984311012210823,0.34542189400127,0.007958152527873324,0.4224989294130696,0.04539653600729242,0.31436994460083567,0.007269233971680193,0.0782991451451655,0.06374688571267975,0.2928272120823008,0.004339287970101389,0.1807871948077796,0.06374688571267977,0.32142931697039556,0.017377887446662188,0.46875,0.7414330218068536
s0324,costal_cartilages,0.8752,0,0.01369646086500378,0.06984311012210823,0.14823866770168265,0.030522270168920333,0.06704903734210084,0.04539653600729242,0.13782091819837725,0.06100052899881386,0.03510899171105007,0.06374688571267975,0.16104600811242872,0.005397826599453392,0.005046814262629036,0.06374688571267977,0.1534335857223951,0.01078055243919083,0.125,0.7414330218068536
s0324,duodenum,0.643,0,0.20256819939987508,0.5931206619482351,0.4789294931467363,0.5605046544832177,0.1297103805979301,0.5931206619482348,0.3801751318078802,0.30761152015318344,0.2744141953312517,0.46964367640311927,0.5497875269105346,0.6948090560093461,0.12001185223438539,0.593120661948235,0.47368169864408594,0.14845996679797102,0.21428571428571427,0.7414330218068536
s0324,esophagus,0.8962,0,0.3848966524929988,0.15691854564269822,0.4053864030431007,0.6594651606922495,0.432426658535415,0.15691854564269825,0.3595305975888302,0.744136274425988,0.505374273950375,0.46964367640311927,0.7495372967343866,0.952924624306087,0.41947908400753564,0.15691854564269828,0.37677647545231224,0.845958667495385,0.725,0.7414330218068536
s0324,femur_left,0.9773,1,0.8315643402765652,0.8180735731873152,0.9373990665831222,0.9997589762348199,0.8352948082317904,0.8180735731873152,0.9484039218452773,0.9994283608149501,0.42292546610810033,0.46964367640311927,0.5184954592724142,0.9712157534789794,0.7240923609936347,0.8180735731873152,0.8561316203176635,0.9990636288029014,0.9411764705882353,0.7414330218068536
s0324,femur_right,0.9805,1,0.7596076308812602,0.5931206619482351,0.9079941202643528,0.9999168480707274,0.8735067677399388,0.5931206619482348,0.9275986437193906,0.999815287251087,0.4835957384137551,0.46964367640311927,0.6309584863434128,0.9937503996318251,0.7392603238021668,0.593120661948235,0.8441137521688253,0.9999558494546212,1.0,0.7414330218068536
s0324,gallbladder,0.7665,0,0.328948795533101,0.15691854564269822,0.4276367641353946,0.37501212864473404,0.22885078191352978,0.15691854564269825,0.39007455912756306,0.33116201652180205,0.47791234437783014,0.46964367640311927,0.5609611889792969,0.902702282494766,0.1934365910585864,0.15691854564269828,0.4706428066557518,0.2905065066725627,0.375,0.7414330218068536
s0324,gluteus_maximus_left,0.9728,1,0.8520157048097373,0.8180735731873152,0.9297493423449465,0.9905075448117225,0.8464485528684028,0.8180735731873152,0.899641918546164,0.9885937348519661,0.5682659262933507,0.46964367640311927,0.6875211246353914,0.9110690297406685,0.8506340086021541,0.8180735731873152,0.9059891022200877,0.9948455126095064,0.9411764705882353,0.7414330218068536
s0324,gluteus_maximus_right,0.9721,1,0.8485267345675744,0.8180735731873152,0.9208140293934056,0.9980953787666106,0.8206929841249284,0.8180735731873152,0.894947417293053,0.9711451477025719,0.5962869141864082,0.46964367640311927,0.6410991067294576,0.9901771517109758,0.8457487698361166,0.8180735731873152,0.9291735692071177,0.9949074648255899,0.9411764705882353,0.7414330218068536
s0324,gluteus_medius_left,0.9571,1,0.6745801084629562,0.8180735731873152,0.8365020061227106,0.9820816574236101,0.6803835264749851,0.8180735731873152,0.7783958736737483,0.9833209574639474,0.4238834524552219,0.46964367640311927,0.487048303102674,0.8204941092146855,0.5346830303281015,0.8180735731873152,0.8117793660728663,0.987301067954138,0.8823529411764706,0.7414330218068536
s0324,gluteus_medius_right,0.9662,1,0.6572289386430707,0.8180735731873152,0.8681900652553941,0.9826903311408424,0.8051378104560961,0.8180735731873152,0.8319463057637014,0.9958483505927144,0.4681910064774189,0.46964367640311927,0.5853282715210725,0.9675863866341387,0.5346722084883448,0.8180735731873152,0.8485044185776495,0.996991813709141,0.8888888888888888,0.7414330218068536
s0324,gluteus_minimus_left,0.928,1,0.43320235572459237,0.8180735731873152,0.49253741458910005,0.2412800064612343,0.49683583477418974,0.8180735731873152,0.5011301275402182,0.31126259967249065,0.23223299665683547,0.1891865395455984,0.42722371184125846,0.12185140958347386,0.16743192832659312,0.8180735731873152,0.47691495655792493,0.09336014179661002,0.7647058823529411,0.7414330218068536
s0324,gluteus_minimus_right,0.9403,1,0.3999832432901017,0.5931206619482351,0.4297031952268122,0.5337832719826907,0.7597067367146254,0.5931206619482348,0.49970929984213214,0.35630126787888977,0.3211085463329839,0.1891865395455984,0.4875257050672623,0.6012289597697156,0.21639915763451428,0.593120661948235,0.4199723216194705,0.0953527376339166,0.9411764705882353,0.7414330218068536
s0324,heart,0.8806,0,0.5727491226949201,0.5931206619482351,0.7197525624698222,0.9955957228735428,0.5078045357235897,0.5931206619482348,0.7324032955215585,0.9980593538219353,0.48190344633339444,0.46964367640311927,0.5436187438731431,0.6334121121991202,0.434638601340391,0.593120661948235,0.714859578701908,0.9614074248028375,0.9166666666666666,0.7414330218068536
s0324,hip_left,0.978,1,0.8885342322362715,0.8180735731873152,0.9613824960840502,0.9998397314547259,0.9504871104863174,0.8180735731873152,0.925599675382744,0.9996717492148993,0.3608511922447232,0.46964367640311927,0.42407454585501514,0.5599820980474862,0.8112502741512243,0.8180735731873152,0.780339532250864,0.9994800270809041,1.0,0.7414330218068536
s0324,hip_right,0.9809,1,0.8597663743989707,0.8180735731873152,0.967560275991147,0.9999526560376568,0.9480888066994757,0.8180735731873152,0.9233719159050444,0.9999526708978262,0.41599555370372365,0.46964367640311927,0.43344014184670454,0.7367666845034708,0.832687612853495,0.8180735731873152,0.7815859996583334,0.9998857007622003,1.0,0.7414330218068536
s0324,iliac_artery_left,0.708,0,0.36664151214192636,0.5931206619482351,0.4066452427934607,0.2397066364190059,0.35781533661869386,0.5931206619482348,0.37791751248507893,0.4265764415126821,0.4620134458693445,0.46964367640311927,0.5045750390818848,0.6858279565219534,0.2842843206569935,0.593120661948235,0.45857211359624983,0.15925336408688268,0.5555555555555556,0.7414330218068536
s0324,iliac_artery_right,0.739,0,0.36696303643739053,0.5931206619482351,0.3767647812235232,0.053223079657933714,0.49436120022888186,0.5931206619482348,0.42345544034886096,0.1562679738241935,0.5512720465791524,0.7091767251832947,0.5712841867948296,0.814718651574115,0.3412898737387611,0.593120661948235,0.4851928087142066,0.17497561284704513,0.6666666666666666,0.7414330218068536
s0324,iliac_vena_left,0.8329,0,0.0504867996601234,0.06984311012210823,0.13377581353882323,0.0008445811572915417,0.031610907041381794,0.04539653600729242,0.18297486748872452,0.0018197585626060122,0.03903531190099229,0.06374688571267975,0.21607264063747805,0.005651443109985331,0.03316996592476142,0.06374688571267977,0.22062512218427738,0.002506438190929008,0.7222222222222222,0.7414330218068536
s0324,iliac_vena_right,0.8246,0,0.4055297491572089,0.5931206619482351,0.4030652799326826,0.07586927765485273,0.37119793578841004,0.5931206619482348,0.3661168100879887,0.21507054734269637,0.41858596605770915,0.46964367640311927,0.6042831031392579,0.9570090634004904,0.2718650966437299,0.593120661948235,0.4041533766321505,0.1619980710979701,0.5555555555555556,0.7414330218068536
s0324,iliopsoas_left,0.9613,1,0.7113900259224724,0.5931206619482351,0.9251388237663583,0.9855510955616482,0.671077521558902,0.5931206619482348,0.8558894086387571,0.9873759353867109,0.5354318981492768,0.7091767251832947,0.8965585334935854,0.9592643473657962,0.6572800654602174,0.593120661948235,0.9340716808734295,0.9985524135697152,0.6,0.7414330218068536
s0324,iliopsoas_right,0.9512,1,0.7399521549996458,0.5931206619482351,0.9441248543095518,0.9818891275092823,0.7264554624005038,0.5931206619482348,0.8758744768396189,0.976503810691901,0.5864279013754718,0.7091767251832947,0.8840115218126489,0.9879785225410429,0.724794196532619,0.593120661948235,0.9404464555425583,0.9991386975234733,0.59375,0.7414330218068536
s0324,inferior_vena_cava,0.797,0,0.11995502464433981,0.06984311012210823,0.42729284743415413,0.08973610500113424,0.02302367873355606,0.04539653600729242,0.3307943717347361,0.08648080268468727,0.1305757945551682,0.06374688571267975,0.18629209255889884,0.0010539198574554833,0.15904300434061988,0.06374688571267977,0.38343899027395756,0.011507369115781192,0.4864864864864865,0.7414330218068536
s0324,kidney_left,0.8631,0,0.4904548339684063,0.15691854564269822,0.4005829916745769,0.3538790645649983,0.5576580329296655,0.15691854564269825,0.393207007949351,0.33307068600122636,0.12219723763109909,0.1891865395455984,0.16485194179961785,0.06802369113130767,0.18715664966499654,0.15691854564269828,0.3576651589508934,0.10124513663528703,0.7931034482758621,0.7414330218068536
s0324,kidney_right,0.8243,0,0.4768933648004966,0.8180735731873152,0.5923931857855941,0.7357517673975155,0.6663523478004909,0.8180735731873152,0.5695985541624745,0.7496872349658561,0.18521745049257704,0.1891865395455984,0.30567595644696016,0.20124697337901398,0.25540708458066486,0.8180735731873152,0.5410618196962816,0.6936923383665191,0.8214285714285714,0.7414330218068536
s0324,liver,0.9716,1,0.9953209173325819,0.5931206619482351,0.9811299298717122,0.9997898671403115,0.9968442513610086,0.5931206619482348,0.9633112228038663,0.9996915623620913,0.47264113777762123,0.46964367640311927,0.48921619618928264,0.20732006413683068,0.9769441992410594,0.593120661948235,0.9450716407963696,0.9998145447140385,0.9722222222222222,0.7414330218068536
