subject,organ,iou,label,RF_class_weight=balanced_+_none,RF_class_weight=balanced_+_sigmoid,RF_class_weight=balanced_+_isotonic,RF_no_class_weight_+_none,RF_no_class_weight_+_sigmoid,RF_no_class_weight_+_isotonic
s0324,adrenal_gland_left,0.7025,0,0.31956683260712404,0.24616110085927068,0.32075471698113206,0.35516666666666663,0.26540594697719655,0.2605633802816901
s0324,adrenal_gland_right,0.77,0,0.17924544148068491,0.11947291386641788,0.125,0.2263333333333333,0.13745335710540532,0.12359550561797752
s0324,aorta,0.8888,0,0.6278846324178509,0.692215185729257,0.5666666666666667,0.7033095238095239,0.7674343313381408,0.7083333333333334
s0324,autochthon_left,0.976,1,0.9670197289743505,0.9494568496862561,0.9781818181818182,0.9810416666666666,0.950661865646847,0.981203007518797
s0324,autochthon_right,0.9755,1,0.9567224724400443,0.946272954540863,0.9595959595959596,0.976875,0.9494052577987349,0.9753086419753086
s0324,colon,0.7919,0,0.32142931697039556,0.2483306087852103,0.32075471698113206,0.34293749999999995,0.25053594664691486,0.2605633802816901
s0324,costal_cartilages,0.8752,0,0.1534335857223951,0.10349492930586739,0.12,0.17263194444444444,0.10176200705584651,0.12359550561797752
s0324,duodenum,0.643,0,0.47368169864408594,0.4614208723155414,0.516209476309227,0.5511726190476192,0.5565749741450022,0.5051546391752577
s0324,esophagus,0.8962,0,0.3767764754523123,0.31840080655095004,0.35365853658536583,0.4908273809523809,0.4610459941793678,0.5051546391752577
s0324,femur_left,0.9773,1,0.8561316203176635,0.9037009552931409,0.8942731277533039,0.8782767857142857,0.9093348943989394,0.9236111111111112
s0324,femur_right,0.9805,1,0.8441137521688254,0.896953446523792,0.8942731277533039,0.8806755952380955,0.9105836166988324,0.9236111111111112
s0324,gallbladder,0.7665,0,0.4706428066557518,0.4566978609951971,0.48079905055469135,0.5240535714285715,0.5137393738868543,0.5051546391752577
s0324,gluteus_maximus_left,0.9728,1,0.9059891022200877,0.9276464618652823,0.9304932735426009,0.913577380952381,0.9262063558371636,0.9298245614035088
s0324,gluteus_maximus_right,0.9721,1,0.9291735692071177,0.9368015951434221,0.9595959595959596,0.9460416666666667,0.9391227940145881,0.9555555555555556
s0324,gluteus_medius_left,0.9571,1,0.8117793660728663,0.87668976795793,0.84,0.8202708333333333,0.8740219764494648,0.8258064516129032
s0324,gluteus_medius_right,0.9662,1,0.8485044185776495,0.8994658165617128,0.8942731277533039,0.8547291666666665,0.8962216391191744,0.8897338403041825
s0324,gluteus_minimus_left,0.928,1,0.47691495655792493,0.46645356091270973,0.516209476309227,0.4895833333333334,0.4590825777366386,0.5051546391752577
