subject,organ,iou,fam,raw_lo,raw_hi,cqr_lo,cqr_hi,mondrian_lo,mondrian_hi,q50
s0316,adrenal_gland_left,0.4225,urinary,0.3086735952052685,0.6957787175628349,0.24954806583187894,0.7549042469362245,0.18806116866330602,0.8163911441047974,0.675527936602976
s0316,adrenal_gland_right,0.7915,urinary,0.24246499866879048,0.6514434122685924,0.18333946929540093,0.7105689416419819,0.12185257212682801,0.7720558388105548,0.48082422566485905
s0316,aorta,0.8459,great_vessel,0.6075632254807491,0.8159047167853625,0.5484376961073596,0.875030246158752,0.47650723036578624,0.9469607119003254,0.7842899777750981
s0316,autochthon_left,0.9065,muscle,0.9256416522912124,0.9396852946793695,0.8665161229178229,0.998810824052759,0.8559389208102964,1.0,0.9193766282549499
s0316,autochthon_right,0.8492,muscle,0.9025361485039429,0.9250058917388592,0.8434106191305534,0.9841314211122487,0.8328334170230269,0.9947086232197752,0.8869705373125355
s0316,colon,0.583,digestive,0.3457820730667483,0.8057740127562494,0.28665654369335875,0.8648995421296389,0.30465732081590485,0.8468987650070928,0.603158045307588
s0316,duodenum,0.7838,digestive,0.5699869691674392,0.826160919846441,0.5108614397940496,0.8852864492198306,0.5288622169165957,0.8672856720972845,0.7409211012033167
s0316,esophagus,0.7201,digestive,0.27178325631679745,0.6253020424600434,0.2126577269434079,0.684427571833433,0.230658504065954,0.6664267947108868,0.5831117280912604
s0316,gallbladder,0.0,solid_abdominal,0.0,0.1657750896406599,0.0,0.22490061901404945,0.0,0.35056437645084226,0.0
s0316,gluteus_medius_left,0.2542,muscle,0.6329192935365417,0.8254032200244886,0.5737937641631522,0.8845287493978782,0.5632165620556258,0.8951059515054046,0.7150925350134233
s0316,gluteus_medius_right,0.1145,muscle,0.026139058581939607,0.6297524519849563,0.0,0.6888779813583459,0.0,0.6994551834658723,0.2766411252754563
s0316,gluteus_minimus_right,0.1169,muscle,0.14507087226620105,0.7723667749990081,0.0859453428928115,0.8314923043723976,0.07536814078528506,0.8420695064799241,0.513812713402936
s0316,heart,0.8022,heart,0.8659003038781263,0.9072841928889191,0.8067747745047368,0.9664097222623087,0.8067747745047368,0.9664097222623087,0.8574043307960361
s0316,hip_left,0.5888,pelvic_bone,0.7616627851003567,0.8465822860924694,0.7025372557269671,0.905707815465859,0.725729313989498,0.8825157572033281,0.7826948257775754
s0316,hip_right,0.6442,pelvic_bone,0.7089401934084683,0.8452027649989434,0.6498146640350787,0.904328294372333,0.6730067222976096,0.8811362361098021,0.7865121509370729
s0316,iliac_artery_left,0.6371,great_vessel,0.23572876676634943,0.604089308704238,0.17660323739295988,0.6632148380776276,0.10467277165138653,0.735145303819201,0.5384035608445048
s0316,iliac_artery_right,0.662,great_vessel,0.17789300546014622,0.6085411363308136,0.11876747608675667,0.6676666657042032,0.04683701034518331,0.7395971314457765,0.5285993000427816
s0316,iliac_vena_left,0.0,great_vessel,0.04683111396528797,0.1815716699846764,0.0,0.24069719935806594,0.0,0.3126276650996393,0.0055353092784694085
s0316,iliac_vena_right,0.3625,great_vessel,0.14412263001467202,0.5041794822891936,0.08499710064128246,0.5633050116625832,0.013066634899709106,0.6352354774041565,0.3191848721720999
s0316,iliopsoas_left,0.8199,muscle,0.885532575936252,0.8984683062424702,0.8264070465628625,0.9575938356158598,0.815829844455336,0.9681710377233862,0.8828686375089966
s0316,iliopsoas_right,0.774,muscle,0.886115664951766,0.91485172375322,0.8269901355783764,0.9739772531266095,0.81641293347085,0.984554455234136,0.927396505406295
s0316,inferior_vena_cava,0.852,great_vessel,0.7591053515952515,0.8718031276288424,0.699979822221862,0.9309286570022319,0.6280493564802886,1.0,0.8474687096334105
s0316,intervertebral_discs,0.7281,vertebrae,0.6894024811345935,0.8514417039094304,0.6302769517612039,0.91056723328282,0.6464343907874129,0.8944097942566109,0.7672208282547975
s0316,kidney_left,0.9084,urinary,0.8717896560443669,0.9173267510938137,0.8126641266709773,0.9764522804672032,0.7511772295024044,1.0,0.8581378313511748
s0316,kidney_right,0.3709,urinary,0.8435288393007934,0.8910238742444542,0.7844033099274038,0.9501494036178437,0.7229164127588309,1.0,0.8477845873462462
s0316,liver,0.8384,solid_abdominal,0.8061635387112456,0.9357788680314263,0.747038009337856,0.9949043974048158,0.6213742519010632,1.0,0.8855864353985192
s0316,lung_left,0.9289,lung,0.9371825394923623,0.9703945165073786,0.8780570101189727,1.0,0.9213883869562082,0.9861886690435328,0.9636199971152049
s0316,lung_right,0.9256,lung,0.95324012281347,0.974683543425562,0.8941145934400805,1.0,0.9374459702773159,0.9904776959617161,0.9328746782079377
s0316,pancreas,0.5585,solid_abdominal,0.48651669712399587,0.8308571408993585,0.4273911677506063,0.889982670272748,0.3017274103138135,1.0,0.7586690628546193
s0316,portal_vein_and_splenic_vein,0.6446,great_vessel,0.20834043087588605,0.6813621988085633,0.1492149015024965,0.7404877281819529,0.07728443576092314,0.8124181939235262,0.5772127413867777
s0316,sacrum,0.7512,pelvic_bone,0.726847148568784,0.8513197522887319,0.6677216191953944,0.9104452816621215,0.6909136774579253,0.8872532233995906,0.7240918179091328
