subject,organ,iou,q10,q50,q90,width,inside80
s1417,brain,0.9823,0.9637735708923361,0.9685563178382534,0.9726521486148116,0.008878577722475578,0
s1417,skull,0.9546,0.9377204317858789,0.9485511242478265,0.9426338026020962,0.004913370816217233,0
s1417,spinal_cord,0.8043,0.7575724314547212,0.8025476797977998,0.9161843939574345,0.15861196250271326,1
s1417,vertebrae_C1,0.9099,0.8893459360994384,0.9451478962037733,0.9652749243187407,0.07592898821930238,1
s1417,vertebrae_C2,0.8209,0.5377928736018155,0.6629971383165105,0.8798391068460807,0.3420462332442652,1
s1075,aorta,0.9865,0.9308513244155819,0.9731922640909388,0.9777018187949678,0.04685049437938582,0
s1075,autochthon_left,0.951,0.9080610255333811,0.9330077402875118,0.9572295222509578,0.049168496717576726,1
s1075,autochthon_right,0.954,0.9220310476119747,0.9316676862744319,0.951337232704233,0.02930618509225824,0
s1075,brachiocephalic_trunk,0.9535,0.7947789411780977,0.9032540520451148,0.9466603145302993,0.15188137335220164,0
s1075,brachiocephalic_vein_left,0.8935,0.7316254477903377,0.7948980827789944,0.9274905149061728,0.19586506711583518,1
s1075,brachiocephalic_vein_right,0.8439,0.776542244559714,0.84779783815248,0.9156940399312959,0.13915179537158195,1
s1075,brain,0.9723,0.9282918125193148,0.9617375804717528,0.9751458356720195,0.046854023152704705,1
s1075,clavicula_left,0.8539,0.9057193531039722,0.9517506725976361,0.9778281154827285,0.0721087623787563,0
s1075,clavicula_right,0.9355,0.9162211272054793,0.9509532153555221,0.9698634825998211,0.05364235539434181,1
s1075,common_carotid_artery_left,0.8327,0.8460937900152298,0.9019426127804042,0.9490786919626915,0.10298490194746168,0
s1075,common_carotid_artery_right,0.8278,0.8113510164398402,0.9026598589555708,0.9483467423614164,0.13699572592157616,1
s1075,costal_cartilages,0.8524,0.6366703144330156,0.7214737878241126,0.8850296659598211,0.24835935152680555,1
s1075,esophagus,0.8948,0.8143977911090473,0.9123734254209467,0.9350809511055168,0.1206831599964695,1
s1075,heart,0.0,0.749585038921116,0.9031241260114807,0.9648099493015413,0.21522491038042524,0
s1075,lung_lower_lobe_left,0.96,0.9006516420233549,0.95323470408835,0.9669105247388022,0.06625888271544733,1
s1075,lung_lower_lobe_right,0.8534,0.3188730760345798,0.6508998255410703,0.8690016706163356,0.5501285945817558,1
s1075,lung_upper_lobe_left,0.9905,0.9657322521366097,0.9775449454323406,0.9889776877443692,0.02324543560775949,0
s1075,lung_upper_lobe_right,0.9939,0.9789941550227547,0.9857351664764519,0.9938731478155445,0.014878992792789814,0
s1075,rib_left_1,0.9063,0.7505604226208529,0.8935085865396559,0.9582063972512926,0.20764597463043977,1
s1075,rib_left_2,0.9566,0.7295026382172981,0.9284655264662177,0.9586957504513292,0.22919311223403105,1
s1075,rib_left_3,0.9628,0.870905078610566,0.9590506734990004,0.9772782932737375,0.10637321466317151,1
s1075,rib_left_4,0.9721,0.9474197807029944,0.9541011253927113,0.9752773341746913,0.02785755347169694,1
s1075,rib_left_5,0.9787,0.8820549335476301,0.950723263302003,0.9703805568018501,0.08832562325422,0
s1075,rib_left_6,0.9142,0.6746672363456956,0.8549910492889088,0.9088005246313223,0.23413328828562674,0
s1075,rib_right_1,0.9287,0.9394698449318782,0.9525093988762856,0.9703284139202203,0.03085856898834205,0
s1075,rib_right_2,0.9536,0.9485613280578677,0.9543481825645883,0.9779823131476068,0.029420985089739005,1
s1075,rib_right_3,0.96,0.9589274799012585,0.9489491571658436,0.9724276718357028,0.013500191934444294,1
s1075,rib_right_4,0.9558,0.9558291477725387,0.9515052834683947,0.9729963929783689,0.01716724520583024,0
s1075,rib_right_5,0.9553,0.6710508694783679,0.8665524640629303,0.9522358860809079,0.28118501660254,0
s1075,rib_right_6,0.9227,0.8868946107466081,0.9191203185158758,0.96034157470604,0.07344696395943184,1
s1075,scapula_left,0.9307,0.8496848967429856,0.937370571668859,0.9750720098122052,0.12538711306921957,1
s1075,scapula_right,0.9509,0.9235194774283673,0.9520690775430868,0.9773176905854629,0.05379821315709565,1
s1075,skull,0.9318,0.9340550692506695,0.9429607493377746,0.948427526353767,0.014372457103097536,0
s1075,spinal_cord,0.9225,0.9281801503266531,0.9238391324434533,0.9504840981626806,0.022303947836027516,0
s1075,sternum,0.9187,0.700765898810866,0.8920642437121554,0.9552979903798023,0.2545320915689363,1
s1075,subclavian_artery_left,0.8439,0.9085627753169676,0.9186972940050643,0.9607031985534156,0.052140423236447964,0
s1075,subclavian_artery_right,0.9144,0.8989545202963688,0.9200271427855582,0.9589868343179062,0.060032314021537414,1
s1075,superior_vena_cava,0.9009,0.801056032122507,0.8709362677833009,0.9369379936601229,0.1358819615376159,1
s1075,thyroid_gland,0.8778,0.8321872378661899,0.8195967677319596,0.9117425818308434,0.07955534396465358,1
s1075,trachea,0.9694,0.9249955051462685,0.9568581111620553,0.9654185141896378,0.04042300904336926,0
s1075,vertebrae_C1,0.8654,0.8153785800516505,0.8705038582584214,0.9428435524024207,0.12746497235077014,1
s1075,vertebrae_C2,0.9639,0.9200732397631944,0.9758031184216532,0.9770126163383522,0.056939376575157796,1
s1075,vertebrae_C3,0.9539,0.833723116568127,0.8900769680555476,0.94791730974984,0.11419419318171298,0
s1075,vertebrae_C4,0.9478,0.9105630655813447,0.9666501379895748,0.9745918578955943,0.06402879231424963,1
s1075,vertebrae_C5,0.9337,0.9140554903131403,0.9616928659916969,0.9740695493673487,0.060014059054208424,1
s1075,vertebrae_C6,0.9346,0.6525579833212913,0.8748150569992242,0.9502779521048944,0.2977199687836031,1
s1075,vertebrae_C7,0.9547,0.855470704412489,0.9658987972880063,0.9770727620685815,0.12160205765609255,1
s1075,vertebrae_T1,0.9692,0.7378332607482095,0.9342620055151847,0.9736863945518779,0.23585313380366835,1
s1075,vertebrae_T2,0.9706,0.9354777957509093,0.9707920379775014,0.9816994832991465,0.04622168754823719,1
s1075,vertebrae_T3,0.979,0.9283126865120852,0.9764135984730685,0.9798704052595959,0.051557718747510695,1
s1075,vertebrae_T4,0.9814,0.9177905196936766,0.9688197436989835,0.9800193877798683,0.06222886808619166,0
s1075,vertebrae_T5,0.9784,0.9546328903424676,0.9615658111816644,0.9795011472323638,0.024868256889896245,1
s1075,vertebrae_T6,0.9295,0.46824601726688075,0.8016317375298763,0.9315538595648294,0.46330784229794864,1
s0032,adrenal_gland_left,0.7403,0.6418622155292555,0.7746102007927733,0.8696695571890015,0.22780734165974603,1
s0032,adrenal_gland_right,0.0633,0.16889451570523153,0.31093428209196233,0.823165258113652,0.6542707424084205,0
s0032,aorta,0.9763,0.9583246281574846,0.9551076836776053,0.9788734023286788,0.020548774171194162,1
s0032,atrial_appendage_left,0.8195,0.671661150102342,0.6856698691623453,0.9229614644990766,0.2513003143967346,1
s0032,autochthon_left,0.9495,0.9384729981947365,0.9562236696788057,0.9602877630938481,0.021814764899111605,1
s0032,autochthon_right,0.9413,0.9411565651292323,0.9543118017046421,0.9628803688122165,0.02172380368298421,1
s0032,brachiocephalic_trunk,0.923,0.8869651820657731,0.8803020549810487,0.9600449376422759,0.07307975557650281,1
s0032,brachiocephalic_vein_left,0.9006,0.8048763523248297,0.9097066668219417,0.9506010212620164,0.14572466893718672,1
s0032,brachiocephalic_vein_right,0.9043,0.6603597003674352,0.8728315848486267,0.9439047252454749,0.2835450248780397,1
s0032,clavicula_left,0.965,0.9195485861721486,0.9619756940170371,0.9776298134486074,0.05808122727645881,1
s0032,clavicula_right,0.912,0.8972907769321182,0.9621826822621372,0.9755409074720743,0.07825013053995611,1
s0032,common_carotid_artery_left,0.921,0.8328361453990404,0.8887623686068737,0.9588372169725161,0.12600107157347573,1
s0032,common_carotid_artery_right,0.9377,0.7849669324714137,0.8644144588082425,0.9514487658833649,0.16648183341195122,1
s0032,costal_cartilages,0.7611,0.6705267550363666,0.8268388266305069,0.8929904067343535,0.22246365169798687,1
s0032,esophagus,0.7328,0.8655131584194117,0.9066822564222956,0.9345812929196589,0.06906813450024718,0
s0032,heart,0.8777,0.9272721523796117,0.9476822129882012,0.9728994229809727,0.04562727060136096,0
s0032,humerus_left,0.9549,0.8932189661433618,0.9630301746586164,0.9790350736740376,0.08581610753067581,1
s0032,humerus_right,0.964,0.9632181393001824,0.9792688626262777,0.9792086243620285,0.015990485061846083,1
s0032,iliopsoas_left,0.6608,0.616614920423514,0.6902515970783768,0.8446008508689586,0.22798593044544468,1
s0032,iliopsoas_right,0.5119,0.3451735109693002,0.5059598146351287,0.8140145011362653,0.46884099016696507,1
